tactic_id,technique,description
TA0001,T1566 - Phishing,"Adversaries send phishing messages to gain access to victim systems via spearphishing attachment link or service. Commonly uses urgency and social engineering."
TA0001,T1078 - Valid Accounts,"Adversaries obtain and abuse credentials of existing accounts for initial access persistence privilege escalation or defense evasion."
TA0001,T1190 - Exploit Public-Facing Application,"Adversaries exploit vulnerabilities in internet-facing applications such as web servers to gain initial access to the network."
TA0002,T1059 - Command and Scripting Interpreter,"Adversaries abuse command and script interpreters such as PowerShell Bash Python or Windows Command Shell to execute commands."
TA0002,T1053 - Scheduled Task/Job,"Adversaries abuse task scheduling functionality to execute malicious code at system startup or on a scheduled basis for persistence."
TA0003,T1098 - Account Manipulation,"Adversaries manipulate accounts to maintain access including modifying credentials permissions or adding SSH authorized keys."
TA0003,T1136 - Create Account,"Adversaries create new accounts on a system or domain to maintain persistent access to victim environments."
TA0004,T1548 - Abuse Elevation Control Mechanism,"Adversaries bypass UAC sudo setuid or similar mechanisms to escalate privileges on a system."
TA0004,T1134 - Access Token Manipulation,"Adversaries modify access tokens to operate under a different user or system security context via token impersonation or theft."
TA0004,T1068 - Exploitation for Privilege Escalation,"Adversaries exploit software vulnerabilities to escalate privileges. AssumeRole abuse and IAM policy escalation are common in cloud environments."
TA0005,T1070 - Indicator Removal,"Adversaries delete or modify artifacts generated on a host system including logs and captured files to cover their tracks."
TA0005,T1562 - Impair Defenses,"Adversaries disable or modify security tools such as CloudTrail GuardDuty or antivirus to avoid detection."
TA0006,T1110 - Brute Force,"Adversaries use brute force techniques to attempt access when passwords are unknown including password spraying and credential stuffing."
TA0006,T1558 - Steal or Forge Kerberos Tickets,"Adversaries attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets for lateral movement."
TA0006,T1528 - Steal Application Access Token,"Adversaries steal application access tokens such as OAuth tokens AWS STS tokens to access cloud resources."
TA0007,T1087 - Account Discovery,"Adversaries attempt to get a listing of accounts on a system or within an environment including cloud accounts and email accounts."
TA0007,T1580 - Cloud Infrastructure Discovery,"Adversaries attempt to discover infrastructure within cloud environments including EC2 instances S3 buckets and IAM roles."
TA0008,T1021 - Remote Services,"Adversaries log into remote services such as SSH RDP or VNC using valid accounts to move laterally within the network."
TA0008,T1550 - Use Alternate Authentication Material,"Adversaries use alternate authentication material such as stolen tokens session cookies or pass the hash to move laterally."
TA0009,T1530 - Data from Cloud Storage,"Adversaries access data from cloud storage such as AWS S3 buckets Azure Blobs or GCP Storage to collect sensitive information."
TA0010,T1041 - Exfiltration Over C2 Channel,"Adversaries steal data by exfiltrating it over an existing command and control channel using the same protocol as C2 communications."
TA0010,T1567 - Exfiltration Over Web Service,"Adversaries exfiltrate data to cloud storage services or web services to avoid network-based detection."
TA0040,T1485 - Data Destruction,"Adversaries destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems."
TA0040,T1486 - Data Encrypted for Impact,"Adversaries encrypt data on target systems to interrupt availability. Ransomware typically encrypts files and demands payment."
